gene,gen_1,gen_8,gen_12,gen_19
ARG80,-0.190800791617806,0.3155389903779183,-0.6249123450612565,-0.5824145217008078
ARG81,0.02793108021222362,0.262975530961673,0.07501461827347931,0.4856179060051852
ARG82,-0.730766890702676,0.682899991781468,0.37212337697113906,0.7339899087835836
ARH1,-0.03732392555029392,0.142217644712566,-0.5698583643410108,0.06590905373426668
ARK1,-0.44014205486768354,0.39469617029776133,-0.15104401338584195,0.08588908480977896
ARL1,0.009626765966386619,0.6445892561524017,-0.6116518281383677,-0.963673893045166
ARL3,0.006663372409780877,0.7129646062643324,0.3021965153350288,-1.0891775875579506
ARN1,-0.30494322459827633,0.25514198535361615,-0.3017942428158326,0.1973760810416221
ARN2,-0.17888240490374077,0.11774547938587204,0.4394196811099756,1.1728847384574026
ARO1,-0.1814647257117843,-0.21571051926388152,0.31454935507095605,-0.7706308774430745
ARO10,-0.09402250371844754,0.36816570753757505,-0.5436820206690393,1.1515563920631848
ARO2,-0.5325271911905509,0.48908167834049615,-0.9690297815678572,-2.1008589915653535
ARO3,0.030635214406895244,-0.12032295875107028,-0.4339016330952686,0.09381922632908608
ARO4,0.10273951765476526,0.19948674583404355,-0.08620964389918176,-1.7766069385206291
ARO7,-0.21426035591987164,0.6311211800562043,-0.768101637925605,-1.7050492377389428
ARO8,0.11139734388191488,-0.15788590494094443,-0.5009196331189172,-0.33873686499153804
ARO80,-0.6432875346145501,0.0548138554550703,1.107398833178559,1.2358274290072906
ARO9,-0.07973087989964231,-0.12417960085641028,0.27338228866798414,1.512510458055226
ARP1,-0.46007003424868975,0.43531686200492103,0.16946805436374854,-0.1050867277138751
ARP10,-0.8699211189488043,1.1913762816574978,-0.029047804136462813,-0.401180947540386
ARP2,0.1752174484384549,-0.1147072766186044,-0.0099989552872323,0.9130490369000392
ARP3,-0.060293633646728795,0.3346399117902001,-0.05845109513578062,0.2377367780706018
ARP4,0.07184761577757388,0.11090627289515616,0.20589147978550706,0.4618985660698393
ARP5,-0.30326724250322,0.6305784188503457,0.6322941645816467,0.13461572056181237
ARP6,-0.07155831837680157,0.4410673587659546,0.40308637642322326,0.4082656105851606
ARP7,-0.18383636205289716,0.7639868436667419,0.04036166196039815,0.3281087524256403
ARP8,-0.4490953034338929,0.5091605875924524,0.768585943310101,1.320164584376512
ARP9,-0.34202696569271274,0.4492049057597758,-0.8511377692765458,-0.7903094956899273
ARR1,0.004520369495494503,0.26195654665081086,-0.16725406045376076,0.4776037712681072
ARR2,-0.6849833635115703,0.6660965776375846,1.0615049808708623,0.9637572481293716
ARR3,-1.202226579039593,0.35260940522851203,0.8228963262961947,0.8928929764485962
ARV1,-0.8805274107501838,0.7825933383264482,0.31441782109497246,-0.5441319901083567
ARX1,-0.15245669443565626,0.02130807970371869,-1.3418378695296802,-2.428902871773593
ASC1,0.058270135103959925,-0.16120453250023228,-0.9999060725271569,-2.42508564674653
ASE1,-0.4891470141045252,-0.0686395144516329,-0.19274049225136797,0.23499107512039594
ASF1,-0.5054503589204321,0.48759844057306817,-0.2544569543043966,-0.6583496592951559
ASF2,-0.2595098882184115,0.2225126798403673,0.8110687668143083,0.7745887844495323
ASG7,-0.8985460389550474,0.2983102850829537,0.7162439799143078,0.45520504139398493
ASH1,-0.5423226379365654,0.31920250646040343,1.059213156305426,0.6197871850481862
ASI1,-0.34846004683019516,0.37749227709258665,-0.6862063343322209,0.6271096438872835
ASI2,-0.08896631963655596,0.4680075509240081,0.2917252440911478,0.7559566887681666
ASI3,0.001456987404616266,0.4778055435303237,0.7139898114413938,1.3564165234525656
ASK1,-0.2863842083982355,0.0554179304858922,-0.47393257823370494,-0.26719340853581713
ASK10,-0.15870718069918657,0.3493432297835673,0.3395192838064497,0.4515839568758537
ASM4,-0.2967749848379771,0.0676144378895628,-0.05688774112429695,0.37453166283816003
